Gene,Synonymous,HC LoF,ExACtool percentile,top expr tissue (3x more),office of rare diseases
ZNF449,38,3,4.28E-01,,
PDE7A,63,7,4.28E-01,,
SLC25A42,56,7,4.28E-01,,
RIC8A,106,19,4.28E-01,,
PIPOX,55,20,4.28E-01,liver,
C6orf48,15,8,4.29E-01,,
ATP11B,124,18,4.29E-01,,
KIAA1522,205,11,4.29E-01,,
HSPB9,28,7,4.29E-01,,
C12orf23,17,3,4.29E-01,,
MLST8,125,11,4.29E-01,,
TRAF4,83,6,4.29E-01,,
SLC22A23,105,5,4.29E-01,,
ERAS,28,2,4.29E-01,brain,
MCM2,189,9,4.29E-01,,
SNAPC1,52,19,4.29E-01,,
LUZP1,159,8,4.29E-01,,
STX3,52,3,4.29E-01,,
GHSR,78,4,4.29E-01,,
DLD,74,10,4.29E-01,,
TEX19,30,9,4.30E-01,,
CYB561D2,40,8,4.30E-01,,
DVL1,204,10,4.30E-01,,
GPT,132,27,4.30E-01,,
CDX4,25,4,4.30E-01,,
C11orf45,25,7,4.30E-01,,
SGK1,87,4,4.30E-01,,
EMR1,138,35,4.30E-01,,
C10orf32,16,3,4.30E-01,,
ATP6V1G1,17,2,4.30E-01,,
FBXO3,58,3,4.30E-01,,
FAM160A2,203,9,4.30E-01,,
TSEN34,62,4,4.30E-01,,
CGB1,7,1,4.30E-01,,
GNAT3,7,1,4.31E-01,adiposeVisceral,
ZNF581,38,4,4.31E-01,,
FCRLB,98,18,4.31E-01,,
TOMM40L,41,5,4.31E-01,,
C8B,93,28,4.31E-01,liver,YES
PRDM14,73,5,4.31E-01,,
GTF2H3,49,13,4.31E-01,,
DIRAS2,39,5,4.31E-01,brain,
LPIN3,131,38,4.31E-01,,
CSRNP2,63,4,4.31E-01,,
ASB13,63,6,4.31E-01,,
KRTAP19-1,18,2,4.31E-01,,
MORN4,24,3,4.31E-01,,
FNIP1,114,5,4.31E-01,,
SERPINI2,40,24,4.31E-01,pancreas,
GC,79,11,4.32E-01,liver,
DIRC2,71,11,4.32E-01,,
RALGPS1,84,4,4.32E-01,,
FAHD2A,37,9,4.32E-01,,
CCL16,19,2,4.32E-01,liver,
OR9I1,56,4,4.32E-01,,
GALNT13,74,5,4.32E-01,brain,
HOXD12,66,13,4.32E-01,,
SLC2A12,98,13,4.32E-01,,
SDHA,137,16,4.32E-01,,YES
C3orf79,9,1,4.32E-01,,
MTCH2,37,6,4.32E-01,,
CBFA2T2,103,5,4.32E-01,,
SRP14,28,3,4.32E-01,,
SP7,68,3,4.33E-01,,
SDK1,586,24,4.33E-01,,
ZBTB17,153,9,4.33E-01,,
OTUD7B,131,8,4.33E-01,,
COX6B1,12,2,4.33E-01,,
C8orf76,49,13,4.33E-01,,
MED25,208,26,4.33E-01,,YES
C16orf13,70,13,4.33E-01,,
GABRP,83,16,4.33E-01,skin,
SLC2A9,117,17,4.33E-01,,
UNC5D,150,9,4.33E-01,brain,
ALCAM,86,5,4.33E-01,,
DHRS7B,61,19,4.33E-01,,
HIF1A,107,6,4.33E-01,,
NUPR1,14,5,4.33E-01,,
PRKACB,47,5,4.34E-01,brain,
EAF2,35,10,4.34E-01,spleen,
EIF3L,96,6,4.34E-01,,
CLLU1OS,17,3,4.34E-01,,
TAGLN2,29,5,4.34E-01,,
KCTD5,65,7,4.34E-01,,
MAEA,126,7,4.34E-01,,
FCN1,70,19,4.34E-01,whole_blood,
C9orf37,27,5,4.34E-01,,
C1QTNF3,54,13,4.34E-01,,
CDC34,83,7,4.34E-01,,
TRIM21,33,3,4.34E-01,,
RNASEH1,72,5,4.34E-01,,
CABP2,44,5,4.34E-01,,
AP1B1,179,8,4.35E-01,,
LAPTM4A,32,3,4.35E-01,,
EIF3F,72,5,4.35E-01,,
RGS10,24,2,4.35E-01,,
RRAS,46,6,4.35E-01,,
ODF1,41,11,4.35E-01,,
DGKE,96,14,4.35E-01,,
B3GNT1,57,5,4.35E-01,,
CCIN,103,6,4.35E-01,,
MPEG1,123,31,4.35E-01,,
B3GNT3,69,5,4.35E-01,,
TTBK2,151,8,4.35E-01,,YES
ZBTB9,63,5,4.35E-01,,
SET,38,3,4.35E-01,,
RAB4A,33,5,4.35E-01,,
SGMS1,62,5,4.36E-01,,
HUNK,115,6,4.36E-01,,
C16orf86,55,7,4.36E-01,,
C5orf48,19,7,4.36E-01,,
CRTAC1,158,13,4.36E-01,,
FAM49A,28,3,4.36E-01,,
ATG12,50,14,4.36E-01,,
BAMBI,41,14,4.36E-01,,
CCDC115,42,11,4.36E-01,,
CD59,28,5,4.36E-01,,
WNT8A,65,7,4.36E-01,,
MARK2,133,6,4.36E-01,,
SFTA2,15,2,4.36E-01,lung,
NFAM1,56,4,4.36E-01,whole_blood,
RHAG,62,4,4.37E-01,,
IFITM2,26,5,4.37E-01,whole_blood,
TMEM2,187,36,4.37E-01,,
SEC11A,9,1,4.37E-01,,
DPH5,26,10,4.37E-01,,
NIT2,62,24,4.37E-01,,
TRIM26,98,6,4.37E-01,,
DCP2,108,8,4.37E-01,,
CNN3,25,3,4.37E-01,,
PCDHGA5,148,22,4.37E-01,,
HOPX,7,2,4.37E-01,,
LIMD2,23,4,4.37E-01,,
DBF4,80,5,4.37E-01,,
TMEM5,57,12,4.37E-01,,
GPATCH4,53,24,4.37E-01,,
PSME3,39,4,4.38E-01,,
AP1S3,26,6,4.38E-01,,
PTPN21,231,39,4.38E-01,,
YIF1B,74,6,4.38E-01,,
TRDMT1,74,14,4.38E-01,,
DNAJB4,35,6,4.38E-01,,
STX11,61,5,4.38E-01,,YES
ZNF324,119,7,4.38E-01,,
HAMP,16,3,4.38E-01,liver,
NAA15,106,8,4.38E-01,,
LRRTM4,84,4,4.38E-01,,
GOLGA2,160,18,4.38E-01,,
C10orf35,24,5,4.38E-01,,
KIF1A,29,1,4.38E-01,brain,
TXNDC8,19,2,4.39E-01,,
HIST1H4I,30,5,4.39E-01,,
RBM46,58,4,4.39E-01,,
GTF2A1L,84,19,4.39E-01,,
TMEM26,66,15,4.39E-01,spleen,
WDR36,156,11,4.39E-01,,
GPR3,64,5,4.39E-01,,
FAM96A,27,7,4.39E-01,,
ZNF638,261,11,4.39E-01,,
NFAT5,185,8,4.39E-01,,
C3orf70,50,11,4.39E-01,,
TMEM62,79,24,4.39E-01,,
CLEC14A,89,8,4.39E-01,,
DDX24,135,7,4.39E-01,,
MED20,32,8,4.39E-01,,
UPF3B,48,3,4.40E-01,,
LEMD3,110,6,4.40E-01,,YES
PVRL4,92,6,4.40E-01,skin,
STOM,24,8,4.40E-01,,YES
ADAMTS19,132,13,4.40E-01,,
FRS3,88,7,4.40E-01,,
ATP5S,48,20,4.40E-01,,
DHRS12,53,13,4.40E-01,,
SERAC1,86,23,4.40E-01,,
CD8A,46,5,4.40E-01,spleen,
EPHA6,163,14,4.40E-01,,
PKP1,144,7,4.40E-01,skin,YES
SCGB2A2,19,3,4.40E-01,skin,
KCNIP1,43,6,4.40E-01,brain,
CXCL5,20,6,4.41E-01,lung,
IFIT5,48,8,4.41E-01,,
DHX36,119,11,4.41E-01,,
USP12,49,5,4.41E-01,,
PLXNB3,375,16,4.41E-01,,
CENPL,36,2,4.41E-01,,
AQP10,35,8,4.41E-01,,
CCNE1,66,5,4.41E-01,,
ATAD3C,86,26,4.41E-01,,
PRTFDC1,38,19,4.41E-01,,
KHDRBS3,49,4,4.41E-01,,
MED6,28,7,4.41E-01,,
KPTN,76,14,4.41E-01,,
AFF3,225,10,4.41E-01,,
ITGAX,221,29,4.41E-01,,
IL6ST,128,6,4.42E-01,,
EPN1,148,5,4.42E-01,,
KLHL38,131,17,4.42E-01,skeletal_muscle,
MET,192,9,4.42E-01,,
PDZK1IP1,24,7,4.42E-01,,
POLR2I,24,3,4.42E-01,,
CCL21,16,2,4.42E-01,,
PLEKHB2,62,17,4.42E-01,,
ZP1,107,29,4.42E-01,,
FBXO9,41,4,4.42E-01,adrenal_gland,
TK1,23,4,4.42E-01,,
PTS,33,10,4.42E-01,,YES
CYP4F12,97,23,4.42E-01,,
WDR77,50,5,4.42E-01,,
ZMYND10,55,22,4.43E-01,,
DEXI,10,1,4.43E-01,,
NPY5R,52,5,4.43E-01,,
NETO1,78,5,4.43E-01,,
SNRPB,40,3,4.43E-01,,YES
NINJ2,48,4,4.43E-01,,
KLHL20,84,9,4.43E-01,,
LMAN1,76,10,4.43E-01,,
SEC24D,172,18,4.43E-01,,
PCDHGC3,131,11,4.43E-01,,
TUBA3D,55,15,4.43E-01,heart,
DPM1,36,6,4.43E-01,,YES
WLS,101,5,4.43E-01,,
EGLN2,31,3,4.43E-01,,
DUSP26,31,5,4.43E-01,,
PRR23B,47,13,4.44E-01,,
ARHGEF7,175,8,4.44E-01,,
PACS2,209,11,4.44E-01,,
ARFGEF1,236,11,4.44E-01,,
PHIP,211,10,4.44E-01,,
TCEA2,69,10,4.44E-01,,
ARID4B,176,8,4.44E-01,,
WDR83,70,19,4.44E-01,,
BEND2,78,4,4.44E-01,,
AKAP11,241,11,4.44E-01,,
GIT2,133,6,4.44E-01,,
PEA15,11,2,4.44E-01,,
C9orf153,12,2,4.44E-01,,
C5orf38,35,10,4.44E-01,,
HIST1H3J,22,3,4.45E-01,,
STXBP5L,157,10,4.45E-01,,
HGS,194,10,4.45E-01,,
C17orf80,93,29,4.45E-01,,
CRYBB2,31,3,4.45E-01,,
P2RY4,38,4,4.45E-01,,
ZEB1,131,6,4.45E-01,,
ARMCX3,21,2,4.45E-01,,
DDX23,118,7,4.45E-01,,
UTP18,74,9,4.45E-01,,
ARL5A,22,5,4.45E-01,,
C1orf100,16,12,4.45E-01,,
BZRAP1,288,22,4.45E-01,,
PRKCSH,145,16,4.45E-01,,
TMEM186,39,11,4.45E-01,,
GIGYF2,204,9,4.46E-01,,
RIN3,196,17,4.46E-01,,
ZFP82,56,7,4.46E-01,,
C10orf99,12,3,4.46E-01,colon,
ZCCHC10,27,6,4.46E-01,,
TICAM2,61,11,4.46E-01,,
RALGAPA2,24,5,4.46E-01,,
N4BP2L1,36,6,4.46E-01,,
KLF10,83,5,4.46E-01,,
DYNLT3,14,2,4.46E-01,,
SHROOM2,235,11,4.46E-01,,
EBPL,47,10,4.46E-01,,
MAGEA1,29,3,4.46E-01,,
FAM133A,12,1,4.46E-01,,
DPF3,16,1,4.47E-01,,
CCT7,84,5,4.47E-01,,
ADAMTS4,139,16,4.47E-01,adiposeVisceral,
IDI1,46,9,4.47E-01,,
TXNL4A,34,5,4.47E-01,,YES
MTHFD2,49,5,4.47E-01,,
AGGF1,97,17,4.47E-01,,
C2orf50,25,12,4.47E-01,,
CCL1,15,2,4.47E-01,,
PRR22,87,7,4.47E-01,,
POFUT1,70,5,4.47E-01,,
TPRG1L,45,12,4.47E-01,,
RBM24,32,3,4.47E-01,,
AASDHPPT,39,12,4.47E-01,,
COL20A1,265,65,4.47E-01,brain,
TAF4B,128,7,4.48E-01,,
C8orf37,22,5,4.48E-01,,YES
CTSH,73,17,4.48E-01,lung,
FAM81A,58,4,4.48E-01,,
NTF3,41,2,4.48E-01,,
UBE2J1,46,4,4.48E-01,,
EIF3K,43,12,4.48E-01,,
MID1,84,4,4.48E-01,,YES
PFKFB1,40,11,4.48E-01,,
ABHD6,53,7,4.48E-01,,
MTPAP,73,5,4.48E-01,,
IRGQ,127,11,4.48E-01,,
SUPT4H1,21,4,4.48E-01,,
OLA1,55,7,4.48E-01,,
GOLT1B,21,3,4.49E-01,,
GNAI3,41,8,4.49E-01,,
TTC18,129,27,4.49E-01,,
RAB3D,51,8,4.49E-01,,
SAE1,66,4,4.49E-01,,
HDAC1,76,7,4.49E-01,,
PLEKHM2,178,7,4.49E-01,,
PYCR1,73,15,4.49E-01,,
MYL6B,27,8,4.49E-01,,
SLC24A2,112,6,4.49E-01,brain,
XCR1,56,4,4.49E-01,,
STARD3NL,35,4,4.49E-01,,
PRM1,15,3,4.49E-01,,
ST7,93,5,4.49E-01,,
DUSP11,55,14,4.49E-01,,
RD3,41,4,4.50E-01,,
CCDC71,64,5,4.50E-01,,
CCDC142,126,22,4.50E-01,,
S100A12,15,2,4.50E-01,whole_blood,
PDPR,98,22,4.50E-01,,
GRHL3,106,5,4.50E-01,skin,YES
C4orf3,27,3,4.50E-01,,
HBS1L,93,25,4.50E-01,,
YIPF3,80,6,4.50E-01,,
PSME4,248,12,4.50E-01,,
UNC93A,99,16,4.50E-01,,
SPRR1B,15,2,4.50E-01,skin,
C2ORF15,14,3,4.50E-01,,
GABRQ,61,11,4.50E-01,,
ADAMTS3,165,21,4.50E-01,,
ZP4,100,31,4.51E-01,,
PUS10,71,27,4.51E-01,,
PPP1CA,78,5,4.51E-01,,
APBA2,165,8,4.51E-01,brain,
LSM5,28,5,4.51E-01,,
MT1B,16,2,4.51E-01,liver,
YBX1,38,4,4.51E-01,,
GINS2,43,16,4.51E-01,,
CCND3,64,4,4.51E-01,,
MPP5,94,10,4.51E-01,,
GK5,69,10,4.51E-01,,
YES1,63,11,4.51E-01,,
GRAP2,60,5,4.51E-01,,
RASD1,42,5,4.51E-01,,
EPT1,52,4,4.52E-01,,
ZNF618,201,8,4.52E-01,,
TSPYL2,96,7,4.52E-01,,
HMHA1,279,14,4.52E-01,,
C1orf172,71,5,4.52E-01,,
SRR,34,12,4.52E-01,,
SIRPA,82,4,4.52E-01,,
CARTPT,19,2,4.52E-01,artery_aorta,
SS18L1,109,7,4.52E-01,,
BLOC1S1,30,5,4.52E-01,,
ADAM19,146,19,4.52E-01,,
IGF2BP2,94,5,4.52E-01,,
ARHGAP26,120,6,4.52E-01,,YES
NKAIN1,28,3,4.52E-01,,
SLC2A5,85,14,4.52E-01,,
ZC3H12A,122,7,4.53E-01,,
GRHL1,113,8,4.53E-01,skin,
RAB22A,24,3,4.53E-01,,
NEK9,125,22,4.53E-01,,
PLEK,47,4,4.53E-01,,
HHLA3,23,14,4.53E-01,,
MT1E,29,4,4.53E-01,,
NAF1,64,4,4.53E-01,,
TMCC1,87,5,4.53E-01,,
PCP4L1,9,1,4.53E-01,,
LNP1,26,7,4.53E-01,,
DDX59,77,15,4.53E-01,,YES
RBM12B,156,10,4.53E-01,,
KRTAP21-2,13,2,4.53E-01,,
CA10,55,3,4.54E-01,brain,
METTL3,76,15,4.54E-01,,
GMPR2,68,23,4.54E-01,,
CHN2,89,14,4.54E-01,,
LYZL4,24,3,4.54E-01,,
ZFYVE1,136,7,4.54E-01,,
ABCG2,92,46,4.54E-01,,
TIAF1,17,5,4.54E-01,,
SFRP2,66,7,4.54E-01,,
ARMC5,243,13,4.54E-01,,
OR10G4,31,2,4.54E-01,,
CASP10,97,30,4.54E-01,,
MARCH2,52,3,4.54E-01,,
LEPROTL1,42,8,4.54E-01,,
OR8B12,45,4,4.54E-01,,
OR10G8,58,4,4.55E-01,,
GORASP2,82,6,4.55E-01,,
PPDPF,37,9,4.55E-01,,
CYP17A1,76,13,4.55E-01,adrenal_gland,
PCDH11X,85,4,4.55E-01,,
RANBP6,157,9,4.55E-01,,
PFN4,20,6,4.55E-01,,
NKAIN3,24,2,4.55E-01,,
CYP4B1,124,23,4.55E-01,,
NUDT17,49,17,4.55E-01,,
ANP32A,12,1,4.55E-01,,
CHORDC1,51,4,4.55E-01,,
MLKL,83,28,4.55E-01,,
PIK3C2B,227,15,4.55E-01,,
HSD17B14,58,20,4.56E-01,,
HOXA6,39,9,4.56E-01,,
HIST1H1D,106,7,4.56E-01,,
HOXA7,48,10,4.56E-01,,
APAF1,159,36,4.56E-01,,
DTX1,106,7,4.56E-01,,
TSPAN12,35,5,4.56E-01,,
TCOF1,264,12,4.56E-01,,
SPARCL1,73,18,4.56E-01,,
GCLC,89,7,4.56E-01,,
OTOL1,61,16,4.56E-01,,
CYP27B1,107,14,4.56E-01,,
DARS,69,12,4.56E-01,,
PSMD7,70,6,4.56E-01,,
PWP2,226,11,4.56E-01,,
RNF40,147,8,4.57E-01,,
ZBTB5,102,7,4.57E-01,,
PEMT,63,4,4.57E-01,,
CKB,77,6,4.57E-01,,
RCOR2,62,5,4.57E-01,,
CSNK1G1,59,6,4.57E-01,,
RCOR3,55,3,4.57E-01,,
DIP2A,290,14,4.57E-01,,
PECR,51,10,4.57E-01,,
HINT3,11,3,4.57E-01,,
CHMP1B,31,3,4.57E-01,skeletal_muscle,
PDE5A,105,18,4.57E-01,,
LYG2,36,12,4.57E-01,,
ZNF436,64,4,4.57E-01,,
FRK,85,24,4.58E-01,,
PDCD1,49,4,4.58E-01,spleen,
WIF1,53,11,4.58E-01,,
SLC16A9,78,8,4.58E-01,adrenal_gland,
RAB3B,33,4,4.58E-01,,
SAR1B,25,7,4.58E-01,,YES
MRPS25,36,7,4.58E-01,,
KIF3B,120,10,4.58E-01,,
MACF1,1011,42,4.58E-01,,
BAG2,21,4,4.58E-01,,
STARD10,63,9,4.58E-01,,
ADAM9,105,10,4.58E-01,,
RAB23,34,6,4.58E-01,,YES
TMOD4,50,16,4.58E-01,skeletal_muscle,
KAT2B,115,7,4.58E-01,,
POMGNT1,124,30,4.59E-01,,YES
BICC1,125,7,4.59E-01,,YES
WNT9B,73,6,4.59E-01,,
CTNNBIP1,18,5,4.59E-01,skin,
RGP1,69,17,4.59E-01,,
CSNK1G3,51,3,4.59E-01,,
MAPK3,68,4,4.59E-01,,
ORMDL1,20,5,4.59E-01,,
ZBTB22,104,6,4.59E-01,,
FBXW4,58,5,4.59E-01,,
OR4C12,43,4,4.59E-01,,
GPR34,32,3,4.59E-01,,
ENOPH1,36,6,4.59E-01,,
PGM5,63,4,4.59E-01,,
SNX17,98,8,4.60E-01,,
USP37,102,6,4.60E-01,,
ZNF821,63,6,4.60E-01,,
FBP1,70,6,4.60E-01,liver,
ZNF34,56,3,4.60E-01,,
KCTD17,47,3,4.60E-01,,
FBXL19,116,8,4.60E-01,,
TMEM136,28,6,4.60E-01,,
TSHB,18,5,4.60E-01,,
SLC38A2,82,6,4.60E-01,,
OR2A25,55,5,4.60E-01,,
C1QTNF9,6,2,4.60E-01,,
GPR171,50,7,4.60E-01,,
ZNF804A,154,8,4.60E-01,brain,
CIDEA,56,7,4.60E-01,,
SAP30BP,56,16,4.61E-01,,
GPR68,63,5,4.61E-01,,
PRPF6,180,10,4.61E-01,,
TMEM183A,40,4,4.61E-01,,
GPR31,60,8,4.61E-01,,
TLL1,149,11,4.61E-01,,
GDF9,57,14,4.61E-01,,
KIAA0247,52,4,4.61E-01,,
BCL2A1,26,2,4.61E-01,,
NLRP10,114,29,4.61E-01,,
KIAA1211,218,12,4.61E-01,,
HDLBP,235,11,4.61E-01,,
MFSD9,103,15,4.61E-01,,
UGDH,52,13,4.61E-01,,
NGEF,149,11,4.62E-01,,
LDLRAD2,45,9,4.62E-01,,
GOLGA3,330,15,4.62E-01,,
MDP1,46,13,4.62E-01,,
BDKRB2,70,4,4.62E-01,,
BRWD1,319,14,4.62E-01,,
YIPF1,39,12,4.62E-01,,
REEP6,44,8,4.62E-01,,
RCBTB1,84,15,4.62E-01,,
TERF2IP,55,5,4.62E-01,,
RAB43,13,2,4.62E-01,,
REPS1,97,5,4.62E-01,,
FBP2,70,9,4.62E-01,,
CYP26B1,123,8,4.62E-01,,
LPPR4,101,6,4.62E-01,brain,
RNF139,103,7,4.63E-01,,
GPR64,86,4,4.63E-01,,
SYT6,74,5,4.63E-01,,
DDX19A,60,4,4.63E-01,,
GUCY1B3,87,11,4.63E-01,,
ZNF174,61,4,4.63E-01,,
FLT1,200,11,4.63E-01,,
EFHD1,31,3,4.63E-01,,
SLC25A43,24,4,4.63E-01,,
ZBTB41,111,7,4.63E-01,,
DHRS7,52,15,4.63E-01,,
HSPA2,119,8,4.63E-01,,
ADAMTS16,214,20,4.63E-01,,
RWDD2B,35,13,4.63E-01,,
ZNF365,102,24,4.64E-01,brain,
FGD2,130,13,4.64E-01,spleen,
CTDSP2,44,4,4.64E-01,,
ACIN1,193,9,4.64E-01,,
RSPO3,33,5,4.64E-01,,
SRPX2,40,3,4.64E-01,,
MED21,25,5,4.64E-01,,
MFSD2B,95,16,4.64E-01,whole_blood,
LACTB,57,10,4.64E-01,,
PGLYRP1,28,3,4.64E-01,whole_blood,
ZNF22,28,4,4.64E-01,,
ARHGAP21,232,11,4.64E-01,,
RAD23A,75,6,4.64E-01,skeletal_muscle,
APOC2,18,6,4.64E-01,,
SPI1,46,4,4.64E-01,whole_blood,
FYTTD1,44,3,4.65E-01,,
OR2A2,58,5,4.65E-01,,
DUPD1,47,9,4.65E-01,skeletal_muscle,
PRELP,82,7,4.65E-01,,
ZFP42,48,7,4.65E-01,,
ZNRF4,112,8,4.65E-01,,
ZBTB32,76,6,4.65E-01,spleen,
RANGRF,50,15,4.65E-01,,
CRYGC,36,5,4.65E-01,,
MRPL12,39,4,4.65E-01,,
FLVCR1,71,17,4.65E-01,,YES
YEATS4,35,6,4.65E-01,,
DPP9,49,2,4.65E-01,,
BMP5,57,10,4.65E-01,,
STYK1,53,12,4.66E-01,,
MYF6,31,10,4.66E-01,skeletal_muscle,
C7orf43,95,7,4.66E-01,,
PTPN7,102,24,4.66E-01,,
CAMK2G,96,5,4.66E-01,,
CTSF,82,29,4.66E-01,,
WDR24,183,11,4.66E-01,,
PRCP,79,21,4.66E-01,,
PRSS8,62,9,4.66E-01,,
CA2,40,7,4.66E-01,,YES
C11orf63,119,32,4.66E-01,,
KIAA0513,93,6,4.66E-01,brain,
LSM14B,77,5,4.66E-01,,
DOK2,82,16,4.66E-01,,
ZDHHC22,11,1,4.66E-01,brain,
NHLRC2,82,16,4.67E-01,,
HMGA1,35,6,4.67E-01,,
AP1M1,89,5,4.67E-01,,
C2orf68,32,6,4.67E-01,,
NCOR1,313,14,4.67E-01,,
ATF1,43,6,4.67E-01,,
AMOTL2,142,8,4.67E-01,,
HIST2H2AB,33,5,4.67E-01,,
TNIK,14,2,4.67E-01,,
ATP6V1D,34,12,4.67E-01,,
ARHGAP30,163,8,4.67E-01,,
PCSK9,125,29,4.67E-01,liver,
ZNF182,52,3,4.67E-01,,
MFSD8,65,14,4.67E-01,,YES
PGAM2,47,10,4.68E-01,,
BICD2,172,9,4.68E-01,,
SLC46A2,92,12,4.68E-01,,
DHDDS,53,4,4.68E-01,,
RAB40AL,38,6,4.68E-01,,
LRRN3,86,5,4.68E-01,,
FARP1,250,24,4.68E-01,,
TRAF7,162,12,4.68E-01,,
IWS1,102,7,4.68E-01,,
SV2B,97,5,4.68E-01,brain,
PLAA,127,8,4.68E-01,,
DSTN,13,2,4.68E-01,,
TXNIP,78,6,4.68E-01,,
GSR,67,11,4.68E-01,,
HOMEZ,74,7,4.68E-01,,
C20orf141,31,11,4.69E-01,,
CD226,51,4,4.69E-01,,
ABHD5,73,16,4.69E-01,,
SPTBN2,482,22,4.69E-01,,YES
POLR2D,19,4,4.69E-01,,
PTPRN,159,15,4.69E-01,brain,
FAM181A,78,6,4.69E-01,,
TESC,46,5,4.69E-01,,
TRAM1L1,53,11,4.69E-01,,
ARNTL,102,6,4.69E-01,,
SLC4A7,156,13,4.69E-01,,
CRISPLD1,54,13,4.69E-01,artery_aorta,
LY6G5C,28,5,4.69E-01,,
WBSCR17,109,7,4.69E-01,,
ZDHHC16,55,9,4.70E-01,,
CPLX4,14,4,4.70E-01,,
RCN1,42,6,4.70E-01,,
UBR7,30,5,4.70E-01,,
HESX1,22,10,4.70E-01,,
C18orf54,64,15,4.70E-01,,
ZNF639,57,5,4.70E-01,,
ELMOD2,29,6,4.70E-01,,
U2AF1L4,36,19,4.70E-01,,
CYP4F22,85,17,4.70E-01,skin,
CAPSL,54,12,4.70E-01,,
ST8SIA5,68,7,4.70E-01,adrenal_gland,
UBR2,220,13,4.70E-01,,
NANOS3,39,5,4.70E-01,brain,
ARL11,33,8,4.70E-01,,
TXNDC9,23,3,4.71E-01,,
ACAP3,160,10,4.71E-01,,
PAPPA,245,12,4.71E-01,,
FAP,103,26,4.71E-01,,
YIPF6,15,2,4.71E-01,,
AGRP,27,3,4.71E-01,adrenal_gland,
FERMT1,103,17,4.71E-01,,
SLC2A2,75,14,4.71E-01,liver,
TAGLN3,44,5,4.71E-01,brain,
SNX33,81,6,4.71E-01,,
KRTAP4-12,30,3,4.71E-01,,
GREB1,431,21,4.71E-01,,
GIMAP6,68,6,4.71E-01,,
KRCC1,31,3,4.71E-01,,
GFRA3,60,6,4.72E-01,nerve_tibial,
WDR54,67,17,4.72E-01,,
PPP2CB,43,5,4.72E-01,,
RACGAP1,87,10,4.72E-01,,
MARCH7,97,6,4.72E-01,,
SH3BP4,201,11,4.72E-01,,
MAP7D1,121,7,4.72E-01,,
IRGC,132,9,4.72E-01,,
COX6C,9,2,4.72E-01,,
MMP24,98,5,4.72E-01,,
SOCS5,83,6,4.72E-01,,
PELO,53,5,4.72E-01,,
FAM159A,29,8,4.72E-01,,
ZNF304,89,9,4.72E-01,,
JRKL,56,7,4.72E-01,,
EPHA2,213,13,4.73E-01,,
SLC6A7,113,17,4.73E-01,,
C7orf34,20,10,4.73E-01,,
TOR1B,59,5,4.73E-01,,
DCDC2,101,22,4.73E-01,,
PITPNM1,271,13,4.73E-01,,
STX17,28,6,4.73E-01,,
HERC6,122,29,4.73E-01,,
PREP,127,8,4.73E-01,,
UBE3C,161,9,4.73E-01,,
TMEM125,47,5,4.73E-01,,
AFAP1,179,9,4.73E-01,,
LYSMD1,34,3,4.73E-01,,
APOM,26,4,4.73E-01,liver,
TOMM7,10,2,4.74E-01,,
INSM2,79,7,4.74E-01,brain,
GLRA4,60,15,4.74E-01,,
EGLN3,53,7,4.74E-01,,
TIMM17A,18,2,4.74E-01,,
HSDL2,48,14,4.74E-01,,
NAPEPLD,47,14,4.74E-01,,
C6orf226,28,6,4.74E-01,,
SKP2,61,4,4.74E-01,,
GNG4,8,1,4.74E-01,brain,
MAGEB1,32,2,4.74E-01,,
ITM2B,28,3,4.74E-01,,YES
WIPF2,71,6,4.74E-01,,
OSTC,18,3,4.74E-01,,
KLHL31,95,11,4.74E-01,heart,
PTH,18,4,4.75E-01,stomach,YES
CXCR2,67,4,4.75E-01,whole_blood,
RNF122,25,3,4.75E-01,,
LPCAT2,83,19,4.75E-01,,
PER2,240,12,4.75E-01,,YES
CAMK1G,89,6,4.75E-01,brain,
CIT,346,17,4.75E-01,,
ENO3,81,26,4.75E-01,skeletal_muscle,YES
SRPK2,94,5,4.75E-01,,
CALM3,26,4,4.75E-01,,
TRIM48,39,25,4.75E-01,,
JMJD7,67,5,4.75E-01,,
PRRT2,62,6,4.75E-01,,YES
THAP10,44,13,4.75E-01,,
TSPYL1,88,8,4.76E-01,,
MAG,113,6,4.76E-01,,
HSPB11,23,5,4.76E-01,,
DLST,85,6,4.76E-01,,
PCDHGA10,125,27,4.76E-01,,
KLHDC8B,49,5,4.76E-01,,
ABTB1,102,18,4.76E-01,,
ZBTB1,61,4,4.76E-01,,
MEGF10,186,13,4.76E-01,brain,
NCBP2,40,5,4.76E-01,,
WFDC3,35,6,4.76E-01,,
KPNA3,68,6,4.76E-01,skeletal_muscle,
ADAMTS10,206,12,4.76E-01,,
IFNGR1,64,7,4.76E-01,,
PHF20L1,129,7,4.76E-01,,
FAM13B,110,10,4.77E-01,,
SEMA3A,101,6,4.77E-01,,
TNIP3,52,7,4.77E-01,,
MED16,341,18,4.77E-01,,
NDUFB4,14,9,4.77E-01,,
OSR2,66,5,4.77E-01,,
DNAJB6,52,4,4.77E-01,,
RSAD2,53,20,4.77E-01,,
EHF,44,4,4.77E-01,,
CMA1,58,17,4.77E-01,,
C20orf196,38,4,4.77E-01,,
KLC4,103,15,4.77E-01,,
REXO2,34,7,4.77E-01,,
SH3TC2,238,35,4.77E-01,nerve_tibial,
